frame_id,camera_path,lidar_path,radar_path,ego_vel,decision
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151612362404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151612362404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151612862404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151612862404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151613362404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151613362404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151613912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151613912404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151614412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151614412404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151614912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151614912404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151615412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151615412404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151615912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151615912404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151616412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151616412404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151616912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151616912404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151617362404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151617362404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151617912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151617912404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151618412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151618412404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151618912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151618912404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151619412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151619412404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151619912458,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151619912458.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151620412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151620412404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151621012404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151621012404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151621412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151621412404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151621912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151621912404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151622412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151622412404.jpg,,,,
n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151622912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-01-15-16-36-0400__CAM_FRONT__1533151622912404.jpg,,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151603547590.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151603547590.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151604048025.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151604048025.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151604547893.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151604547893.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151605047769.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151605047769.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151605548192.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151605548192.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151606048630.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151606048630.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151606549066.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151606549066.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151607048933.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151607048933.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151607548824.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151607548824.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151608048151.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151608048151.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151608548020.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151608548020.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151609047890.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151609047890.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151609547766.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151609547766.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151609947025.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151609947025.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151610446899.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151610446899.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151610946785.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151610946785.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151611446636.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151611446636.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151611896734.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151611896734.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151612397179.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151612397179.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151612897588.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151612897588.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151613398020.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151613398020.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151613948222.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151613948222.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151614450164.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151614450164.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151614948536.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151614948536.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151615448397.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151615448397.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151615947733.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151615947733.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151616447606.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151616447606.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151616947490.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151616947490.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151617397050.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151617397050.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151617947237.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151617947237.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151618447134.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151618447134.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151618946993.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151618946993.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151619446866.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151619446866.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151619947313.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151619947313.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151620447745.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151620447745.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151621047706.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151621047706.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151621448049.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151621448049.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151621947928.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151621947928.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151622448916.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151622448916.pcd.bin,,,
n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151622948227.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-01-15-16-36-0400__LIDAR_TOP__1533151622948227.pcd.bin,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385092112404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385092112404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385092662404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385092662404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385093162404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385093162404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385093612404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385093612404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385094112404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385094112404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385094512404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385094512404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385094912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385094912404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385095412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385095412404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385095912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385095912404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385096362404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385096362404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385096862404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385096862404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385097362404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385097362404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385097862411,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385097862411.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385098362404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385098362404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385098862404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385098862404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385099362404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385099362404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385099862404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385099862404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385100362404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385100362404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385100862404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385100862404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385101362404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385101362404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385101912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385101912404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385102412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385102412404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385102912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385102912404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385103412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385103412404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385103912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385103912404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385104412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385104412404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385104912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385104912404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385105412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385105412404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385105912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385105912404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385106412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385106412404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385106912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385106912404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385107412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385107412404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385107912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385107912404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385108412412,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385108412412.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385108912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385108912404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385109362404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385109362404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385109862404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385109862404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385110412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385110412404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385110912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385110912404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385111412404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385111412404.jpg,,,,
n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385111912404,v1.0-mini/samples\CAM_FRONT\n008-2018-08-27-11-48-51-0400__CAM_FRONT__1535385111912404.jpg,,,,
n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385092150099.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385092150099.pcd.bin,,,
n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385092700299.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385092700299.pcd.bin,,,
n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385093200183.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385093200183.pcd.bin,,,
n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385093650312.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385093650312.pcd.bin,,,
n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385094150195.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385094150195.pcd.bin,,,
n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385094550004.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385094550004.pcd.bin,,,
n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385094949783.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385094949783.pcd.bin,,,
n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385095449675.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385095449675.pcd.bin,,,
n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385095949554.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385095949554.pcd.bin,,,
n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385096399680.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385096399680.pcd.bin,,,
n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385096900138.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385096900138.pcd.bin,,,
n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385097400558.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385097400558.pcd.bin,,,
n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385097901019.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385097901019.pcd.bin,,,
n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385098400887.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385098400887.pcd.bin,,,
n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385098900804.pcd,,v1.0-mini/samples\LIDAR_TOP\n008-2018-08-27-11-48-51-0400__LIDAR_TOP__1535385098900804.pcd.bin,,,
